phone,name,business,city,batch,send_date,send_time,responded,outcome
+447445559879,GM Cutting trimming tree service,GM Cutting trimming tree service,Huddersfield,Yellow_Batch_6,,,,
+447903022179,Palmers Tree Specialists,Palmers Tree Specialists,Dorking,Yellow_Batch_6,,,,
+442076201453,fabrik,fabrik,London,Yellow_Batch_6,,,,
+441784777770,Forever Green Tree Care,Forever Green Tree Care,Ashford,Yellow_Batch_6,,,,
+447858570786,Highland Tree Care,Highland Tree Care,Dingwall,Yellow_Batch_6,,,,
+447484613701,ML Treeservices,ML Treeservices,Alford,Yellow_Batch_6,,,,
+447522927629,MJ Findlay Tree Surgery,MJ Findlay Tree Surgery,Aberdeen,Yellow_Batch_6,,,,
+447918130988,wyvis tree services,wyvis tree services,Nairn,Yellow_Batch_6,,,,
+447947154183,JS Tree Services,JS Tree Services,Inverurie,Yellow_Batch_6,,,,
+447928191777,Above and Beyond Arboriculture Limited,Above and Beyond Arboriculture Limited,Stonehaven,Yellow_Batch_6,,,,
+447878790257,ECO Highland Tree Services,ECO Highland Tree Services,Forres,Yellow_Batch_6,,,,
+441542647607,Epic Tree Care,Epic Tree Care,Keith,Yellow_Batch_6,,,,
+447508488570,Castelnau Services,Castelnau Services,London,Yellow_Batch_6,,,,
+441343860368,NE Tree Services,NE Tree Services,Elgin,Yellow_Batch_6,,,,
+447856920541,Tree Dismantle,Tree Dismantle,Bradford,Yellow_Batch_6,,,,
+447723053065,Stump removal - Stumped,Stump removal - Stumped,London,Yellow_Batch_6,,,,
+447730666396,Capital Trees Limited,Capital Trees Limited,London,Yellow_Batch_6,,,,
+447956864566,Sparrowhawk Trees,Sparrowhawk Trees,London,Yellow_Batch_6,,,,
+447971055438,Cut Above Tree Management Ltd,Cut Above Tree Management Ltd,London,Yellow_Batch_6,,,,
+447901552223,Tree Matters,Tree Matters,London,Yellow_Batch_6,,,,
+447722903344,J Wood Tree Services,J Wood Tree Services,Wellingborough,Yellow_Batch_6,,,,
+447745145433,The Green Outdoors,The Green Outdoors,Weybridge,Yellow_Batch_6,,,,
+447405478851,Burleys Tree Care - Tree Surgeons,Burleys Tree Care - Tree Surgeons,Staines,Yellow_Batch_6,,,,
+447908949297,Fine Pruning Tree Surgery Ltd,Fine Pruning Tree Surgery Ltd,Ashford,Yellow_Batch_6,,,,
+447888699267,Midgard Tree Services Ltd,Midgard Tree Services Ltd,Walton-on-Thames,Yellow_Batch_6,,,,
