phone,name,business,city,batch,send_date,send_time,responded,outcome
+447837459655,Riverside Tree Specialist,Riverside Tree Specialist,Staines,Yellow_Batch_7,,,,
+447891262004,New Acre,New Acre,Romford,Yellow_Batch_7,,,,
+447885423333,The Beech Boys Tree Services LTD,The Beech Boys Tree Services LTD,London,Yellow_Batch_7,,,,
+447432092253,A.L.M Tree Care LTD,A.L.M Tree Care LTD,London,Yellow_Batch_7,,,,
+447957515586,Amber Tree Care,Amber Tree Care,London,Yellow_Batch_7,,,,
+441708406816,Al's Tree Surgery,Al's Tree Surgery,London,Yellow_Batch_7,,,,
+447990615663,London and Essex Tree Surgeons,London and Essex Tree Surgeons,London,Yellow_Batch_7,,,,
+447789933081,Loughton Gardens and landscapes,Loughton Gardens and landscapes,Loughton,Yellow_Batch_7,,,,
+441737333390,Benton Tree Surgery,Benton Tree Surgery,Dorking,Yellow_Batch_7,,,,
+447393821797,Rosewood Maintenance & Landscaping Ltd,Rosewood Maintenance & Landscaping Ltd,Shepperton,Yellow_Batch_7,,,,
+447469392057,GJ Tree Care Services,GJ Tree Care Services,Addlestone,Yellow_Batch_7,,,,
+447513111003,Sparrowhawk Tree Surgeons,Sparrowhawk Tree Surgeons,London,Yellow_Batch_7,,,,
+447460843655,Red Branch Tree Services,Red Branch Tree Services,Glasgow,Yellow_Batch_7,,,,
+447368997835,Evergreen Gardening Services,Evergreen Gardening Services,Helensburgh,Yellow_Batch_7,,,,
+447796156519,DB Forestry Ltd,DB Forestry Ltd,West Kilbride,Yellow_Batch_7,,,,
+447762621400,Stevenson Tree Care,Stevenson Tree Care,Glasgow,Yellow_Batch_7,,,,
+447711865770,Lumbers Tree & Hedge Care - Wirral,Lumbers Tree & Hedge Care - Wirral,Wirral,Yellow_Batch_7,,,,
+447769214615,Adapt Arb,Adapt Arb,Wirral,Yellow_Batch_7,,,,
+447388924898,Arbor Aces Tree Care Specialists,Arbor Aces Tree Care Specialists,Wirral,Yellow_Batch_7,,,,
+447754347963,Abernethy Arb and Landscapes,Abernethy Arb and Landscapes,Wirral,Yellow_Batch_7,,,,
+447539597192,Knightwood Arborists Tree Service - Wirral Tree Surgeon's,Knightwood Arborists Tree Service - Wirral Tree Surgeon's,Wirral,Yellow_Batch_7,,,,
+447703830920,AF Tree Care & Woodland Management,AF Tree Care & Woodland Management,Oban,Yellow_Batch_7,,,,
+447546769861,Treefellas Scotland,Treefellas Scotland,Glasgow,Yellow_Batch_7,,,,
+447444507204,Wirral Tree Services LTD,Wirral Tree Services LTD,Wirral,Yellow_Batch_7,,,,
+447496879066,GlasGrow Tree Surgeons,GlasGrow Tree Surgeons,Glasgow,Yellow_Batch_7,,,,
