phone,name,business,city,batch,send_date,send_time,responded,outcome
+447810768342,Willow Landscapes,Willow Landscapes,London,Green_Batch_4,,,,
+447907593525,I.W.S Tree Care,I.W.S Tree Care,Staines,Green_Batch_4,,,,
+447733326484,Green Tree Delivery,Green Tree Delivery,London,Green_Batch_4,,,,
+447587769457,Helix Garden and Grounds Maintenance,Helix Garden and Grounds Maintenance,Ashford,Green_Batch_4,,,,
+447984735802,Yoco Trees Cic,Yoco Trees Cic,London,Green_Batch_4,,,,
+447772317770,Andrew Day Arboricultural Consultancy,Andrew Day Arboricultural Consultancy,London,Green_Batch_4,,,,
+447591908210,Rowan's Trees - Tree & Garden Services,Rowan's Trees - Tree & Garden Services,London,Green_Batch_4,,,,
+447715216974,Tree Removal London,Tree Removal London,London,Green_Batch_4,,,,
+447497377360,Acorn Garden Services,Acorn Garden Services,London,Green_Batch_4,,,,
+447404013349,Tree Service & Waste Clearance,Tree Service & Waste Clearance,London,Green_Batch_4,,,,
+447941031759,Surreyarborist,Surreyarborist,Sunbury-on-Thames,Green_Batch_4,,,,
+447901552223,Tree Matters Ltd,Tree Matters Ltd,London,Green_Batch_4,,,,
+447812604367,Pace Arboriculture,Pace Arboriculture,London,Green_Batch_4,,,,
+447757864550,NP Tree Care Ltd,NP Tree Care Ltd,London,Green_Batch_4,,,,
+447594355598,Tidy Trees London,Tidy Trees London,London,Green_Batch_4,,,,
+447918150571,Poppies Trees and Hedges,Poppies Trees and Hedges,Northampton,Green_Batch_4,,,,
+447805439790,Crossbrook Tree Care Ltd,Crossbrook Tree Care Ltd,Northampton,Green_Batch_4,,,,
+447557767353,Oswalt Tree Services,Oswalt Tree Services,Bradford,Green_Batch_4,,,,
+447398197779,Nomi Tree & Garden Services.,Nomi Tree & Garden Services.,Bradford,Green_Batch_4,,,,
+447833720935,Northern Tree Care,Northern Tree Care,Bradford,Green_Batch_4,,,,
+447952618667,Whiteley's Landscape Gardeners & Arboriculturists,Whiteley's Landscape Gardeners & Arboriculturists,Pudsey,Green_Batch_4,,,,
+447977114605,SDM Tree Services,SDM Tree Services,Wakefield,Green_Batch_4,,,,
+447939727846,Emerald Garden Maintenance,Emerald Garden Maintenance,Otley,Green_Batch_4,,,,
+447427544467,West Yorkshire Logs,West Yorkshire Logs,Leeds,Green_Batch_4,,,,
+447774851112,Parkin & Parker Tree Specialists,Parkin & Parker Tree Specialists,Loughton,Green_Batch_4,,,,
+447889859297,RD Forestry,RD Forestry,Leeds,Green_Batch_4,,,,
+447792320216,Woodlea Tree Services,Woodlea Tree Services,Pudsey,Green_Batch_4,,,,
+447845463178,SIMON ROBERTS TREE SURGEONS / ARBORISTS.,SIMON ROBERTS TREE SURGEONS / ARBORISTS.,Wakefield,Green_Batch_4,,,,
+447772755861,MWM TREE SURGEONS \ ARBORICULTRALISTS, WAKEFIELD,MWM TREE SURGEONS \ ARBORICULTRALISTS, WAKEFIELD,Wakefield,Green_Batch_4,,,,
+447429192987,AKarb tree surgeons,AKarb tree surgeons,Otley,Green_Batch_4,,,,
