phone,name,business,city,batch,send_date,send_time,responded,outcome
+441969667364,Wensleydale Tree & Horticultural Services Ltd,Wensleydale Tree & Horticultural Services Ltd,Hawes,Yellow_Batch_3,,,,
+447527551862,Bespoke Tree Care,Bespoke Tree Care,Scarborough,Yellow_Batch_3,,,,
+447736643538,Hunter's Tree Care,Hunter's Tree Care,Leeds,Yellow_Batch_3,,,,
+441132633323,Beechfield Tree Services,Beechfield Tree Services,Leeds,Yellow_Batch_3,,,,
+447848847426,Stara Tree Contractors,Stara Tree Contractors,Bradford,Yellow_Batch_3,,,,
+447775856188,Airborne Trees,Airborne Trees,Leeds,Yellow_Batch_3,,,,
+447500541401,Wharfe Tree Services,Wharfe Tree Services,Otley,Yellow_Batch_3,,,,
+447725082487,JH Arboriculture Tree Surgeons,JH Arboriculture Tree Surgeons,Leeds,Yellow_Batch_3,,,,
+447932027876,Craggwood Tree Care,Craggwood Tree Care,Leeds,Yellow_Batch_3,,,,
+447729673354,J M Tree Services,J M Tree Services,Leeds,Yellow_Batch_3,,,,
+447835795169,Lime Tree Surgeons,Lime Tree Surgeons,Leeds,Yellow_Batch_3,,,,
+447988053202,Tree Doctors,Tree Doctors,Leeds,Yellow_Batch_3,,,,
+447534617636,City trees uk,City trees uk,London,Yellow_Batch_3,,,,
+447921924395,London Tree Stump Removal Company,London Tree Stump Removal Company,Beckenham,Yellow_Batch_3,,,,
+447815907538,Broccoli Tree Care,Broccoli Tree Care,London,Yellow_Batch_3,,,,
+447549352792,A & R Woodland Consultants,A & R Woodland Consultants,Munlochy,Yellow_Batch_3,,,,
+447480642577,J&J tree surgeons,J&J tree surgeons,Aberdeen,Yellow_Batch_3,,,,
+447444641283,Murdoch Wood Ltd,Murdoch Wood Ltd,Blairgowrie,Yellow_Batch_3,,,,
+447833718209,Black Isle Tree Services,Black Isle Tree Services,Cromarty,Yellow_Batch_3,,,,
+447717194567,R Kinghorn Tree Surgery,R Kinghorn Tree Surgery,Inverness,Yellow_Batch_3,,,,
