phone,name,business,city,batch,send_date,send_time,responded,outcome
+447918758305,Altyre Forestry LTD,Altyre Forestry LTD,Forres,Yellow_Batch_4,,,,
+441575574157,Glen Isla Tree Climbers,Glen Isla Tree Climbers,Kirriemuir,Yellow_Batch_4,,,,
+447754116523,Tree Barbers Scotland,Tree Barbers Scotland,Aberdeen,Yellow_Batch_4,,,,
+441224734372,Eastland Foresters Ltd,Eastland Foresters Ltd,Aberdeen,Yellow_Batch_4,,,,
+441642778174,Bilsdale Tree Services,Bilsdale Tree Services,Middlesbrough,Yellow_Batch_4,,,,
+441904935176,YTS York Tree Surgeon & Specialists,YTS York Tree Surgeon & Specialists,York,Yellow_Batch_4,,,,
+441287640202,Everything Trees,Everything Trees,Saltburn-by-the-Sea,Yellow_Batch_4,,,,
+447973195299,Ritson Tree Care,Ritson Tree Care,Saltburn-by-the-Sea,Yellow_Batch_4,,,,
+447704054633,Trees A Crowd London,Trees A Crowd London,Enfield,Yellow_Batch_4,,,,
+447985288025,All Seasons Tree Surgeons,All Seasons Tree Surgeons,London,Yellow_Batch_4,,,,
+447770962000,Vitruvian Trees - Arboricultural Consultancy,Vitruvian Trees - Arboricultural Consultancy,Surbiton,Yellow_Batch_4,,,,
+441536461214,Spencer Tree Surgery,Spencer Tree Surgery,Kettering,Yellow_Batch_4,,,,
+447425153774,Moulton Tree Services Ltd,Moulton Tree Services Ltd,London,Yellow_Batch_4,,,,
+447957487062,Luke Jennings Tree Surgery Ltd,Luke Jennings Tree Surgery Ltd,Enfield,Yellow_Batch_4,,,,
+442039741095,Brixton Tree Professionals,Brixton Tree Professionals,London,Yellow_Batch_4,,,,
+447927804775,Denny's Tree Surgery,Denny's Tree Surgery,London,Yellow_Batch_4,,,,
+447906019272,Urban Forest Arboriculture,Urban Forest Arboriculture,Hampton,Yellow_Batch_4,,,,
+447921149118,Forbes Tree Care,Forbes Tree Care,London,Yellow_Batch_4,,,,
+447723027375,South London Tree Care,South London Tree Care,London,Yellow_Batch_4,,,,
+447732753721,Acer Treecare,Acer Treecare,Halifax,Yellow_Batch_4,,,,
